id,name,lat,lng,streamUrl
NSW09,กล้องดูระดับน้ำคลองเลียบทางรถไฟ (แยกหมอปาน),8.419135,99.954452,https://streaming.noc.nakhoncity.org/live/NSW09.m3u8
NSW10,ปั้มน้ำคลองลำเหมือง,8.410179,99.970964,https://streaming.noc.nakhoncity.org/live/NSW10.m3u8
NSW11,ซอยรวมแพทย์,8.434676,99.95272,https://streaming.noc.nakhoncity.org/live/NSW11.m3u8
NSW12,แยกสารีบุตรใน,8.429604,99.96649,https://streaming.noc.nakhoncity.org/live/NSW12.m3u8
NSW13,วงเวียนนอกไร่,8.441068,99.949317,https://streaming.noc.nakhoncity.org/live/NSW13.m3u8
NSW14,สี่แยกพะเนียดใน,8.433079,99.965989,https://streaming.noc.nakhoncity.org/live/NSW14.m3u8
NSW15,สี่แยกหลังวัดชะเมา,8.449337,99.962231,https://streaming.noc.nakhoncity.org/live/NSW15.m3u8
NSW16,ปากซอยต้นหว้า,8.427976,99.95065,https://streaming.noc.nakhoncity.org/live/NSW16.m3u8
NSW17,ท้ายซอยเจริญสุข,8.45628,99.962821,https://streaming.noc.nakhoncity.org/live/NSW17.m3u8
NSW18,สี่แยกมุมป้อมใน,8.427748,99.967197,https://streaming.noc.nakhoncity.org/live/NSW18.m3u8
NSW19,สี่แยกบ่ออ่าง-โรบินสันโอเชี่ยน,8.43788,99.96605,https://streaming.noc.nakhoncity.org/live/NSW19.m3u8
NSW20,สี่แยกประตูขาวใน,8.43082,99.96618,https://streaming.noc.nakhoncity.org/live/NSW20.m3u8
NSW21,ถนนกรแก้ว ตัวที่ 1,8.42609,99.96751,https://streaming.noc.nakhoncity.org/live/NSW21.m3u8
NSW22,ถนนกรแก้ว ตัวที่ 2,8.426098,99.967533,https://streaming.noc.nakhoncity.org/live/NSW22.m3u8
NSW23,ทิพย์จักษุ,8.42483,99.96791,https://streaming.noc.nakhoncity.org/live/NSW23.m3u8
NSW24,สุขสมบูรณ์ ตัวที่ 1,8.42337,99.96827,https://streaming.noc.nakhoncity.org/live/NSW24.m3u8
NSW25,สุขสมบูรณ์ ตัวที่ 2,8.423382,99.968318,https://streaming.noc.nakhoncity.org/live/NSW25.m3u8
NSW26,สี่แยกชูศิลป์,8.419784,99.969127,https://streaming.noc.nakhoncity.org/live/NSW26.m3u8
NSW27,หน้าโรงแรมแกรนด์ปาร์ค ตัวที่ 1,8.440203,99.964515,https://streaming.noc.nakhoncity.org/live/NSW27.m3u8
NSW28,หน้าโรงแรมแกรนด์ปาร์ค ตัวที่ 2,8.440203,99.964325,https://streaming.noc.nakhoncity.org/live/NSW28.m3u8
NSZ01,สถานีรถไฟ ตัวที่ 1,8.439586,99.960039,https://streaming.noc.nakhoncity.org/live/NSZ01.m3u8
NSZ02,สถานีรถไฟ ตัวที่ 2,8.439786,99.960039,https://streaming.noc.nakhoncity.org/live/NSZ02.m3u8
NSZ03,แยกเนรมิตร ตัวที่ 1,8.439653,99.96081,https://streaming.noc.nakhoncity.org/live/NSZ03.m3u8
NSZ04,แยกเนรมิตร ตัวที่ 2,8.439617,99.960819,https://streaming.noc.nakhoncity.org/live/NSZ04.m3u8
NSZ07,สี่แยกท่าวัง ตัวที่ 1,8.439893,99.962022,https://streaming.noc.nakhoncity.org/live/NSZ07.m3u8
NSZ08,สี่แยกท่าวัง ตัวที่ 2,8.439879,99.962068,https://streaming.noc.nakhoncity.org/live/NSZ08.m3u8
NSZ09,สามแยกท่าด่าน ตัวที่ 1,8.444342,99.962346,https://streaming.noc.nakhoncity.org/live/NSZ09.m3u8
NSZ10,สามแยกท่าด่าน ตัวที่ 2,8.444542,99.962346,https://streaming.noc.nakhoncity.org/live/NSZ10.m3u8
